Provincia;Anio;Trimestre;01_alimentos;02_tabaco;03_vestido;04_vivienda;05_hogar;06_sanidad;07_transporte;08_comunicaciones;09_ocio;10_enseñanza;11_restaurantes;12_otros;00_general
Albacete;2002;1;0.6341932975451655;0.06394957799282527;0.2708776164127397;0.2628448324112415;0.25984314594821495;0.6186756072645295;0.7524367304387417;0.2987528032498606;0.5714413650029678;0.06623187378500826;0.2911256700237925;0.4955329969465006;0.36601259408230485
Albacete;2002;2;0.6195632056844623;0.12456511009717108;0.28262042574953816;0.2447332321678363;0.23780052326141254;0.6034313425028238;0.7525440204449838;0.2988844962978348;0.6238602313258218;0.06174220309929026;0.3701255804025218;0.4723015844962553;0.3661951440850775
Albacete;2002;3;0.6369332055610414;0.13365261673676;0.3285500715658934;0.25735136978128453;0.26251668989434296;0.6099317697558893;0.7754738151051637;0.30384752874996795;0.6298205155144223;0.0640183208069396;0.3632051769719022;0.5060306454638465;0.388299507123316
Albacete;2002;4;0.6485984021645362;0.12775972575264882;0.34077343154800005;0.2629961726583581;0.23646841218314152;0.6017043121895214;0.7544922720874102;0.30608899115488547;0.5696570791870136;0.06688038360977139;0.3738740372731548;0.5023120234520113;0.3716732791722088
Albacete;2003;1;0.61212827985331;0.12347170089413667;0.24538617869895574;0.2960120611809922;0.2666910683742602;0.5748041585224749;0.7684431016908162;0.3078494933655294;0.5451659427296526;0.0536785350705129;0.40268056036312255;0.516699319630268;0.3525061269280159
Albacete;2003;2;0.5675410502073508;0.046681296324922184;0.3264486258036361;0.20821323542094392;0.24081630495340275;0.5438980666132583;0.7617031981179726;0.31425046322087336;0.5363608727106791;0.05430499651182224;0.40197190495803303;0.5089187568523968;0.3228416609766436
Albacete;2003;3;0.6300920037838479;0.07770298019572436;0.3276325247454006;0.2365782043931134;0.28688930505276605;0.5234195639964251;0.7505572740264953;0.3203447507858486;0.5279990747946117;0.057988333154372435;0.43159485253564944;0.5116881365383003;0.3603643534710749
Albacete;2003;4;0.653792791466037;0.056897945877620294;0.3635480435866971;0.21643276062962094;0.26665968626924447;0.5099810641682088;0.7398997913233121;0.32438155577718025;0.5136840982170184;0.05441850526379017;0.3965483256707392;0.47956544141136886;0.34722672551528255
Albacete;2004;1;0.643518818312345;0.014798373169056677;0.21859120478530256;0.2675203191359858;0.24503318804085686;0.4911303977366345;0.7246765105951763;0.32740635253363104;0.46451004408696156;0.05156465262743565;0.3633921533632007;0.4803053517632112;0.31782056460861124
Albacete;2004;2;0.6717342909359919;0.01305154407607371;0.2080866399426378;0.33002458185275846;0.22673651432223274;0.489104052859112;0.7478530685720379;0.3302185982427253;0.4907659091251282;0.04484190922684848;0.3843135379560501;0.4798064310319745;0.3346850934821939
Albacete;2004;3;0.6872831591641924;0.02656587832816348;0.18028559376932615;0.34067275840782957;0.2502917916346256;0.501756049327541;0.7582492975231112;0.33492950553390227;0.48269001137297435;0.037398790000782396;0.44498934725207634;0.5055095478720402;0.34771627220518964
